,level_0,index,propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,superTopHighlight,floor,hasLift,parkingSpace,district,labels,highlight,neighborhood
10,10,10.0,32565527,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/6a/7b/f2/227638933.jpg,HS0436,26,700000.0,chalet,sale,500.0,4,3,Rua do calvario,Porto,Marco,pt,41.1826051,-8.1483163,False,https://www.idealista.pt/imovel/32565527/,36025,,True,good,False,1400.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Marco, Marco de Canaveses', 'title': 'Casa independiente en Rua do calvario'}",True,False,True,False,False,False,,,,,,,
11,11,11.0,32554911,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/d8/01/de/211101114.jpg,CRY117,10,80000.0,chalet,sale,30.0,1,1,Rua DE BONJÓIA,Porto,Campanhã,pt,41.1544566,-8.5791545,False,https://www.idealista.pt/imovel/32554911/,702,"Casa de 1 dormitorio en Campanhã que consta de un dormitorio, un baño y cocina americana.En el exterior hay un pequeño terreno y dependencias.Excelente ubicación, con varios transportes públicos. Intervención: - Terminal Intermodal de Campanhã de 66m; - Metro de campaña de 450 m; - A 500 m de la estación de tren de Campanhã; - 500m Quinta de Bonjóia; - Estadio Dragão de 1,3 km; - 1,7 km Lidl Oporto; - Tienda Alameda 1,9km. Excluidos del SCE, en los términos del inciso g) del núm.el apartado 2 del artículo 18.º del Decreto-Ley n.101-D/2020, de 7 de diciembre.",False,good,False,2667.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}","{'subtitle': 'Campanhã, Porto', 'title': 'Chalet adosado en Rua De Bonjóia'}",False,False,False,False,False,False,,,,Corujeira - Bonjóia,,,
12,12,12.0,32611309,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/dc/49/64/226391410.jpg,067230235,21,270000.0,chalet,sale,125.0,3,3,Centro,Porto,Rio Tinto,pt,41.1766928,-8.5584495,False,https://www.idealista.pt/imovel/32611309/,2403,,False,good,False,2160.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}","{'subtitle': 'Rio Tinto, Gondomar', 'title': 'Chalet adosado'}",False,False,False,False,False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Centro,,,
13,13,13.0,32675490,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/8b/5a/d1/218916187.jpg,CAS_1456,42,175000.0,chalet,sale,540.0,4,0,"Avenida Santiago, 107",Aveiro,Rio Meão,pt,40.959251,-8.5924802,True,https://www.idealista.pt/imovel/32675490/,22431,,False,renew,False,324.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Rio Meão, Santa Maria da Feira', 'title': 'Casa independiente en Avenida Santiago, 107'}",True,False,False,False,False,False,,,,,"[{'name': 'negotiable', 'text': 'Negociable'}]",{'groupDescription': 'Destacado'},
14,14,14.0,32860846,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/d9/ae/8c/222635856.jpg,IMND-36601,62,250000.0,chalet,sale,443.0,10,3,Rua Rodrigues de Freitas,Porto,Ermesinde,pt,41.2170241,-8.5543206,False,https://www.idealista.pt/imovel/32860846/,6563,"Fantástica mansión histórica de 10 dormitorios para reformar, con garaje y jardín, en una ubicación privilegiada, en Ermesinde. Este palacio necesita una renovación, lo que permitirá al nuevo propietario imaginar cómo utilizar este espacio único: tiene techos altos, un jardín generoso y verde y un garaje.Por tanto, está dirigido a quienes prefieren un estilo de vida exclusivo o un activo de inversión para una posterior exploración inmobiliaria o turística, en una zona ampliamente servida por comercio, servicios y transporte, en Ermesinde. Este palacio está ubicado en una zona de gran demanda en Ermesinde, y es una inversión segura, ya sea para vivienda permanente, como para su posterior colocación en el mercado de alquiler o alojamiento local, ya que está bien comunicado por transporte público (como el de Ermesinde, 800 metros) y está cerca del acceso a toda la región, concretamente a las carreteras nacionales 107, 105 y a la A3 y A41. En los alrededores es posible encontrar zonas de distribución comercial (Continente, Minipreço, Lidl, Mercadona y varios supermercados locales), así como comercio tradicional y diversos establecimientos de ocio y restauración y también farmacias, gimnasios, servicios públicos, espacios verdes y culturales. espacios y escuelas.También es importante destacar la proximidad a MaiaShopping, a tan sólo 650 metros. Áreas espaciales: Salón – 48 m² Salón – 27 m² Salón – 26 m² Salón – 27 m² Cocina – 15 m² Habitación – 10 m² Habitación – 16 m² Habitación – 30 m² Habitación – 34 m² Habitación – 22 m² Habitación – 35 m² Habitación – 14 m² Salón - 17 m² wC.– 12 m² wC.– 8m² wC.– 4 m² Garaje – 52 m² Lavandería – 22 m² Almacenamiento – 24 m² Área del Terreno: 570 m2 Área bruta de construcción: 443 m2 Superficie bruta privada: 345 m2 Superficie bruta dependiente: 98 m2.",True,renew,False,564.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Ermesinde, Valongo', 'title': 'Casa independiente en Rua Rodrigues de Freitas'}",True,False,False,False,False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,,
15,15,15.0,32659184,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/79/6c/e6/215099310.jpg,1091517/22PB,2,160000.0,chalet,sale,103.5,2,1,Centro,Porto,Rio Tinto,pt,41.1817185,-8.560857,False,https://www.idealista.pt/imovel/32659184/,2732,"Edificio de 3 viviendas, compuesto por: - 2 viviendas de planta baja y 1º piso (90m2 cada una) - 1 Casa R/C (42m2) Áreas (en m2): - Superficie total del terreno: 720m2 - Área de construcción: 132m2 - Superficie bruta privada total: 222m2 - Superficie del terreno que comprende las fracciones: 588m2 Afectación: Vivienda Excelente oportunidad, aprovecha ahora! Ref: 1091517/22PB.",False,good,False,1546.0,{'typology': 'chalet'},"{'subtitle': 'Rio Tinto, Gondomar', 'title': 'Chalet'}",False,False,False,False,False,False,,,,Centro,,,
16,16,16.0,32666250,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/64/ab/21/215375051.jpg,126401038-92,18,177000.0,flat,sale,58.0,1,1,Avenida de Diogo Leite s/n,Porto,Santa Marinha e São Pedro da Afurada,pt,41.137592,-8.6137978,True,https://www.idealista.pt/imovel/32666250/,3962,"Esta propiedad se encuentra arrendada hasta el 31 de diciembre de 2023.   descripción de propiedad Apartamento de 1 dormitorio con balcón en el corazón de Cais de Gaia, Vila Nova de Gaia   Ubicación y entorno: Ubicación en Avenida Diogo Leite n.148, en una zona de vivienda multifamiliar. En los alrededores hay una oferta de todo tipo de servicios. Un lugar agradable para pasear a lo largo del río Duero y con una vista fantástica a la otra orilla, al centro histórico de Oporto...Cais de Gaia es, hoy en día, una atracción turística, con varios restaurantes, bares y cafeterías donde pasar momentos de relax y calidad. – en “visitar-porto”   Edificación (según el Cuaderno de Edificación): “Edificio de propiedad horizontal.Número de pisos del artículo: 4”   Principales características: - ubicado en Cais de Gaia - 1.1er piso atrás (sin ascensor) - 1 frontal (orientación sur) - año de construcción: 1966 - 1 balcón   Apartamento T1: - hall de entrada - Sala común con acceso a un balcón - cocina - instalación sanitaria con lavabo, inodoro y ducha - almacenamiento - almacenamiento - habitación con acceso a una habitación - división   Otras características y características: - cocina con piso y revestimiento cerámico - instalaciones sanitarias con piso y revestimiento cerámico - area social y dormitorio con pisos flotantes - calentamiento de agua del cilindro - intercomunicador   Puntos de interés: - junto con la restauración y el comercio - junto al río Duero - 170m de un Parque Infantil - 230m del Mercado Municipal - A 250m del Teleférico de Gaia - 350m del Puente Luis I - 550m del Jardín del Morro - 600m de Ribeira do Porto - 700m del Monasterio de Serra do Pilar - 750m del Minipreço - 800m de la Escuela Básica Santa Marinha   Transporte y acceso: - 750m del metro (Estación Jardim do Morro) - A 950m del metro (Estación General Torres) - A 950m del tren (Estación General Torres).",False,good,False,3052.0,{'typology': 'flat'},"{'subtitle': 'Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia', 'title': 'Piso en Avenida de Diogo Leite s/n'}",False,False,False,False,False,False,,,,Centro Histórico,,,
17,17,17.0,32923415,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/dd/95/a3/225737298.jpg,CB0027,11,210000.0,flat,sale,104.0,3,1,Moreira,Porto,Moreira,pt,41.2450777,-8.6453875,False,https://www.idealista.pt/imovel/32923415/,10956,,False,good,False,2019.0,{'typology': 'flat'},"{'subtitle': 'Moreira, Maia', 'title': 'Piso'}",False,False,False,False,False,False,2,False,,,,,
18,18,18.0,32903222,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/9a/7a/0b/227515282.jpg,ND10146,20,75000.0,chalet,sale,234.0,0,0,Ribeira do Neiva,Braga,Ribeira do Neiva,pt,41.6694081,-8.5052406,False,https://www.idealista.pt/imovel/32903222/,56886,"Casa de piedra, ubicada en Ribeira do Neiva, Vila Verde, Situada en una parcela rústica de 2325 m2, con vistas abiertas e impresionantes sobre la comarca, con varios árboles frutales, hórreo, garaje, abrevadero. La casa es habitable, aunque requiere varias obras. Excelente oportunidad, en zona residencial tranquila y en plena naturaleza. ¡Contáctanos y ven a ver la casa ideal para ti, tu nuevo hogar! Nedyal-Inmobiliaria IAM 20881.",False,renew,False,321.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Ribeira do Neiva, Vila Verde', 'title': 'Casa independiente'}",False,False,False,False,False,False,,,,,,,
19,19,19.0,32940953,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/75/ba/1d/225752485.jpg,125311207-8,18,149900.0,flat,sale,74.0,2,1,"Rua António Múnici Malheiro, 6",Braga,São José de São Lázaro e São João do Souto,pt,41.5384813,-8.4265579,True,https://www.idealista.pt/imovel/32940953/,43861,"apartamento de 2 dormitorios en venta Esta propiedad está en un sistema de propuestas múltiples. Valor base de puja: 149.900€ Día de visita: 21/10/2023 Horario de apertura: de 15 a 18 horas.(Casa abierta) Día de presentación de propuestas: 23/10/2023 a las 17:00 horas en la agencia RE/MAX LIKE (Satisfactor Group). Este magnífico apartamento T2+1 ofrece vistas panorámicas realmente espectaculares, que abarcan Monte Picoto, Monte do Sameiro y Monte do Bom Jesus.Recientemente se realizó una renovación parcial que conservó su encanto original al tiempo que introdujo toques modernos para crear un ambiente acogedor y sofisticado. Las nuevas ventanas de doble acristalamiento proporcionan un aislamiento térmico y acústico de máxima calidad, garantizando un ambiente confortable durante todo el año. Además, el apartamento está equipado con aire acondicionado para que puedas disfrutar del clima ideal en todas las estaciones.La estufa de leña es perfecta para las noches más frías y aporta un toque acogedor al salón. Este edificio ofrece comodidades adicionales que incluyen 2 ascensores que lo llevan directamente al garaje. Los balcones que rodean todo el perímetro del edificio permiten disfrutar de las impresionantes vistas y crean un espacio perfecto para relajarse al aire libre. Ubicado cerca de Altice Fórum y Escola Profissional de Braga, este apartamento ofrece una ubicación privilegiada, brindando fácil acceso a diversos servicios e instituciones educativas. Esta es una oportunidad única de vivir en un lugar verdaderamente especial.Para obtener más información o programar una visita, contáctenos. ¡Esta es la casa de tus sueños! ¿POR QUÉ elegir RE / MAX para ayudarle a comprar su propiedad? Contamos con un equipo calificado que te acompañará en todas las etapas del proceso de compra: - Calificación del producto; - Calificación financiera (Obtención de viabilidad crediticia); - Calificación motivacional; - Elección de las propiedades correctas para visitar; - Visitas a propiedades seleccionadas; - Capacidad para negociar; - Redacción del contrato de promesa de compraventa; - Soporte en el proceso de crédito; - Soporte procesal y legal; - Acompañamiento en la escritura; ¡Póngase en contacto con nosotros!",True,good,False,2026.0,{'typology': 'flat'},"{'subtitle': 'São José de São Lázaro e São João do Souto, Braga', 'title': 'Piso en Rua António Múnici Malheiro, 6'}",True,False,False,False,False,False,8,True,,,,,
20,20,20.0,32649907,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/bc/39/07/214753313.jpg,LL145,20,177000.0,chalet,sale,120.0,5,1,São Roque da Lameira,Porto,Campanhã,pt,41.1603607,-8.5766882,False,https://www.idealista.pt/imovel/32649907/,96,"Casa Bifamiliar ubicada en Corujeira, cerca de todos los servicios, comercio y transporte necesarios en la vida cotidiana. Ideal para inversores, esta casa necesita obras de rehabilitación total, tal y como se muestra en las fotografías.El valor es negociable. La casa tiene la siguiente distribución: R / C - Hall de entrada - 2/4 - Habitación - Cocina - WC - Ropa sucia - Almacenamiento abierto - Acceso al exterior 1er Piso, con entrada independiente - Cocina - Habitación - WC - Hall de acceso a habitaciones. - 3 dormitorios - Acceso al ático. Localización: - Parada de autobús de Corujeira - 120m - PSP - 150m - Jardín de Corujeira - 300m - Metro Estadio Dragão - 650m - Parque de S.Roque - 750m - Campaña Mercadona - 800m - Acceso a la autopista - 850m - Compras Alameda - 1,2 km - Estación de tren de Campanha - 1,6 km Lascasas & Leite cuenta con un equipo especializado en mediación inmobiliaria, dispuesto a ayudarle y disponible para aclarar cualquier duda en el proceso de compra-venta de inmuebles. Los agentes autorizados de la plataforma WE CONNECT, de los diversos servicios que brindamos de forma gratuita, pueden contar con transferencia/constitución de nueva energía, contratos de telecomunicaciones, cambios de domicilio en la Tarjeta Ciudadana, entre otros. ¡No lo dudes! Permítanos ayudarle a hacer realidad sus sueños. ¡Esperamos tener noticias suyas para visitar su futuro hogar!",False,renew,False,1475.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}","{'subtitle': 'Campanhã, Porto', 'title': 'Chalet pareado'}",False,False,False,False,False,False,,,,São Roque da Lameira,,,
